% file: gentab 
% date: 23-Mar-2026 07:54:07 
rank,pcg,direct_decoupled,direct
5,2.438883,2.534634,4.187529
10,2.602316,2.475269,14.576451
15,2.719548,2.66111,34.343025
20,2.832711,2.727513,63.798195
25,3.032217,2.816848,101.927982
30,3.214777,2.924838,152.275059
35,3.36176,3.034798,218.474785
40,3.586196,3.309394,301.572909
45,3.756211,3.432628,394.106728
50,3.955779,3.382969,504.595418
