% file: gentab 
% date: 23-Mar-2026 14:05:40 
rank,pcg,direct_decoupled,direct
5,2.021244,2.042821,5.717032
10,2.213649,1.871101,18.64183
15,2.305204,2.071948,45.140289
20,2.352136,2.210506,83.057478
25,2.579635,2.226053,137.981156
30,2.702002,2.332274,209.484701
35,2.828414,2.450209,304.704436
40,3.026922,2.568768,420.790337
45,3.254322,2.507653,555.113095
50,3.809588,3.207464,739.695114
