% file: run_unaligned_vortex 
% date: 16-Jul-2026 09:59:39 
rank,runid,seed,time,rerr,it
5,1,99991,15.114319,0.118151400142152,50
5,2,99989,15.324388,0.118228791195295,50
5,3,99971,15.113425,0.115154726563391,50
10,1,99991,25.311687,0.0496781514251612,50
10,2,99989,24.432306,0.0453705622899172,50
10,3,99971,25.014014,0.0455260400855301,50
15,1,99991,32.474229,0.0384810987825621,50
15,2,99989,32.895913,0.0337176986800676,50
15,3,99971,33.096781,0.0343253345017888,50
20,1,99991,39.138522,0.0239529497749639,50
20,2,99989,38.254468,0.0225209972196195,50
20,3,99971,39.464244,0.0222626515152613,50
25,1,99991,48.488195,0.0180717699190981,50
25,2,99989,47.439202,0.0175632136668145,50
25,3,99971,47.66441,0.0181460766448607,50
30,1,99991,55.915773,0.0148142968516148,50
30,2,99989,54.140817,0.0122968010523128,50
30,3,99971,55.10139,0.0133237836175439,50
35,1,99991,63.08104,0.0107728403755533,50
35,2,99989,64.46518,0.0115999669267002,50
35,3,99971,64.235013,0.0117500313560791,50
40,1,99991,74.139101,0.0100081316302583,50
40,2,99989,72.727845,0.00902637456249087,50
40,3,99971,72.969935,0.00942213948206401,50
45,1,99991,83.23489,0.0133790310511039,50
45,2,99989,80.204499,0.0133030953547552,50
45,3,99971,83.358497,0.00875003601130568,50
50,1,99991,91.193033,0.0154741397718311,50
50,2,99989,92.396787,0.0132785466340608,50
50,3,99971,90.29976,0.0169694681120646,50
