% file: run_unaligned_miranda 
% date: 16-Jul-2026 08:31:17 
rank,runid,seed,time,rerr,it
5,1,99991,5.102008,0.116910480497395,50
10,2,99989,11.569434,0.0955615120546235,50
15,3,99971,18.729364,0.0833729632431257,50
20,3,99971,23.353213,0.0733604561616955,50
25,1,99991,30.246014,0.0664247411070587,50
30,1,99991,35.440311,0.0597290617022805,50
35,3,99971,43.703617,0.0540803033044994,50
40,3,99971,49.109779,0.0488586106042765,50
45,1,99991,58.475548,0.0450056950300732,50
50,3,99971,64.845272,0.0405552390337712,50
