% file: run_unaligned_miranda 
% date: 16-Jul-2026 08:52:14 
rank,runid,seed,time,rerr,it
5,1,99991,10.479793,0.118136694377628,50
5,2,99989,10.429249,0.116691289092989,50
5,3,99971,10.231913,0.119452947891609,50
10,1,99991,17.19011,0.0964024789448912,50
10,2,99989,17.694022,0.094738292507264,50
10,3,99971,17.56182,0.0961893280900221,50
15,1,99991,25.171908,0.083612231252029,50
15,2,99989,25.597572,0.0836938818954555,50
15,3,99971,24.213084,0.0832902146721619,50
20,1,99991,27.92383,0.074204354919615,50
20,2,99989,28.550834,0.074242510627768,50
20,3,99971,28.476518,0.0736941503572778,50
25,1,99991,38.623756,0.0667178615997528,50
25,2,99989,36.665049,0.0656200961336879,50
25,3,99971,37.343903,0.0665954340213906,50
30,1,99991,42.231237,0.0600329962535841,50
30,2,99989,43.458852,0.0600870428064101,50
30,3,99971,44.058829,0.0600231982453525,50
35,1,99991,55.259884,0.054310210150705,50
35,2,99989,53.869275,0.0543635393706368,50
35,3,99971,53.52725,0.0545031559136487,50
40,1,99991,57.37524,0.0492644698065219,50
40,2,99989,58.419308,0.0501145398563037,50
40,3,99971,58.049949,0.049608693772762,50
45,1,99991,68.994503,0.0453264744248993,50
45,2,99989,68.955516,0.0448298204521421,50
45,3,99971,69.476095,0.0452685070962005,50
50,1,99991,74.353893,0.0405385229864503,50
50,2,99989,76.4578,0.0407740770497633,50
50,3,99971,75.402133,0.0403492869255242,50
